EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:33:36	0	0.0500	0.42521952631165083	0.33199650049209595	0.0	0.0	0.0	0.0
2	19:42:10	0	0.0500	0.32777779682652314	0.31427201628685	0.0	0.0	0.0	0.0
3	19:50:55	0	0.0500	0.2804550712527868	0.20263932645320892	0.438	0.1925	0.2675	0.1544
4	20:00:01	0	0.0500	0.23599557676832084	0.19138899445533752	0.4199	0.4836	0.4495	0.2899
5	20:08:59	1	0.0500	0.22198478343323222	0.18277941644191742	0.4398	0.4034	0.4208	0.2665
6	20:18:33	0	0.0500	0.2134458013126356	0.1971881091594696	0.3906	0.581	0.4672	0.3048
7	20:27:51	1	0.0500	0.20601848243544948	0.17847569286823273	0.479	0.2954	0.3655	0.2236
8	20:37:25	2	0.0500	0.20246715719799535	0.18482257425785065	0.4952	0.0788	0.136	0.073
9	20:47:14	3	0.0500	0.19990691367149163	0.1730591356754303	0.4624	0.4251	0.4429	0.2845
10	20:57:02	4	0.0500	0.19679825926701797	0.17098358273506165	0.5025	0.3071	0.3812	0.2355
11	21:06:54	0	0.0500	0.19692131894552092	0.17369981110095978	0.4522	0.4893	0.47	0.3072
12	21:17:00	1	0.0500	0.1951370757110757	0.17051880061626434	0.4983	0.3119	0.3836	0.2373
13	21:27:10	0	0.0500	0.1941568386387245	0.1818530559539795	0.4162	0.5736	0.4824	0.3179
14	21:37:06	1	0.0500	0.19137255125204555	0.1710384488105774	0.4643	0.4481	0.456	0.2954
15	21:47:21	0	0.0500	0.1904149162636889	0.17666299641132355	0.4213	0.5703	0.4846	0.3198
16	21:57:33	1	0.0500	0.18997137365317734	0.17061565816402435	0.4562	0.4943	0.4745	0.3111
17	22:07:49	2	0.0500	0.18868933565880724	0.17402726411819458	0.4393	0.5245	0.4781	0.3142
18	22:18:12	0	0.0500	0.1878552609221616	0.18087980151176453	0.4186	0.5806	0.4865	0.3214
19	22:39:01	1	0.0500	0.18830217375521993	0.1685558557510376	0.4773	0.4422	0.4591	0.2979
20	22:48:59	2	0.0500	0.18590142591639103	0.18085412681102753	0.414	0.5813	0.4836	0.3189
21	22:58:54	3	0.0500	0.18477247638585398	0.1835317462682724	0.4065	0.5911	0.4817	0.3173
22	23:08:54	4	0.0500	0.1859119576327112	0.17710638046264648	0.4384	0.5385	0.4833	0.3187
