    EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:19:56	0	0.0500	0.38238841731110856	0.3142465353012085	0.3485	0.5199	0.4173	0.2637
2	16:29:22	1	0.0500	0.29877975516272504	0.26481032371520996	0.3072	0.3592	0.3311	0.1984
3	16:37:49	2	0.0500	0.28046150869594927	0.25876426696777344	0.3634	0.459	0.4057	0.2545
4	16:46:16	0	0.0500	0.2657176436761143	0.2611795663833618	0.3849	0.5083	0.4381	0.2805
5	16:54:38	0	0.0500	0.25899138680974115	0.2651831805706024	0.3932	0.5664	0.4641	0.3022
6	17:04:00	1	0.0500	0.25057813110813076	0.25893694162368774	0.408	0.5289	0.4607	0.2993
7	17:12:19	2	0.0500	0.24484270166292013	0.25278231501579285	0.4007	0.5191	0.4523	0.2922
8	17:20:38	3	0.0500	0.23849305913282343	0.2539686858654022	0.4091	0.488	0.4451	0.2862
9	17:29:00	4	0.0500	0.2339028572960039	0.25142404437065125	0.41	0.4904	0.4466	0.2875
10	17:37:29	0	0.0500	0.2289188137378472	0.2603127062320709	0.4116	0.537	0.466	0.3038
11	19:10:53	1	0.0500	0.22658360812812095	0.2576838433742523	0.4094	0.5033	0.4515	0.2916
12	19:20:02	2	0.0500	0.22106581777237336	0.2561170160770416	0.4105	0.4884	0.4461	0.2871
13	19:29:10	0	0.0500	0.21713566054260527	0.2734169065952301	0.4191	0.583	0.4876	0.3224
14	19:38:02	1	0.0500	0.2108544244455416	0.2619801461696625	0.4188	0.5147	0.4618	0.3002
15	19:46:53	2	0.0500	0.21024794783024633	0.2582334876060486	0.4021	0.392	0.397	0.2476
16	19:55:54	3	0.0500	0.2049619581032376	0.2760160267353058	0.4124	0.5633	0.4762	0.3125
17	20:04:45	4	0.0500	0.20068580159351945	0.2616995871067047	0.408	0.4266	0.4171	0.2635
18	20:13:38	5	0.0500	0.19900626720007175	0.26557448506355286	0.4105	0.4678	0.4373	0.2798
19	20:22:27	1	0.0250	0.19061562873255247	0.27097898721694946	0.4098	0.4192	0.4144	0.2614
20	20:31:23	2	0.0250	0.18564845696350696	0.2770756185054779	0.4189	0.4897	0.4515	0.2916
21	20:40:14	3	0.0250	0.18419297031210974	0.2802005708217621	0.4178	0.5028	0.4564	0.2957
22	20:49:11	4	0.0250	0.18016604580334536	0.2863037884235382	0.4188	0.5096	0.4597	0.2985
23	20:58:07	5	0.0250	0.18069814940852436	0.2801112234592438	0.4072	0.4409	0.4233	0.2685
24	21:47:49	1	0.0125	0.17386446903029382	0.2868240773677826	0.4198	0.4952	0.4544	0.294
